rank,section,subSection,subSectionName,officeName,title,조회수
1,baseball,kbo,KBO리그,스포츠춘추,1이닝도 못 버틴 '한화 킬러'…무사만루 병살타 주전 포수도 3회 교체 [춘추 현장],43041
2,worldbaseball,mlb,메이저리그,매일신문,"MLB 샌디에이고 PS 진출, 김하성 빅리그 데뷔 2년만 가을야구 뛴다",25746
3,worldfootball,epl,프리미어리그,마이데일리,'벤치행 호날두 말동무로 영입'…UCL 5회 우승 맨유 MF 굴욕,22940
4,baseball,kbo,KBO리그,스타뉴스,"최지훈, 관중과 마찰 진짜 이유 밝혔다 ""어린이 팬 잘못 아니에요""",18570
5,worldfootball,worldfootballetc,해외축구 일반,스포탈코리아,"이걸 솔샤르 탓을 한다고? ""홀란, 헤더 가르친 게 솔샤르""",17122
6,worldfootball,primera,라리가,스타뉴스,"리버풀 레전드, 곧 40대인데... '근육맨 변신' 현역 때보다 더 좋아진 몸",15924
7,baseball,kbo,KBO리그,뉴스1,"9~10일에도 정규시즌 경기…늦어지는 가을야구, 12일 이후 시작할 듯",14599
8,baseball,kbo,KBO리그,마이데일리,"LG에 온 고교 최고의 거포 ""안우진 150km 넘는 강속구 경험하고 싶다""",12125
9,worldfootball,epl,프리미어리그,스포츠경향,"노르웨이의 괴물 홀란, EPL 최초 홈 3경기 연속 해트트릭",12029
10,worldfootball,epl,프리미어리그,포포투,"'창의성이 부족해...' 북런던 더비 완패한 토트넘, '965억' 공미 눈독",11373
11,soccer,kleague,K리그,연합뉴스,K리그1 수원 '최하위 맞대결'서 성남 2-0 완파…오현규 결승골,9790
12,worldfootball,epl,프리미어리그,스포츠조선,"맨유 전설의 분노 ""아무리 그래도 호날두 그렇게 쓰면 안 돼!""",9688
13,baseball,kbo,KBO리그,매일신문,"[주간전망]삼성라이온즈 운명의 일주일, 가을야구 진출 잔불씨 속 피렐라 KBO 시상 가능성은?",9589
14,worldfootball,epl,프리미어리그,스포츠조선,"6호 영입, '배우' 누나가 뿔났다…""달라질 수 있었다"" 콘테 저격",8958
15,basketball,kbl,프로농구,바스켓코리아,"[KBL 컵대회] 사령탑 바뀐 KGC인삼공사, 좋지 않았던 컵대회 경기력",8240
16,soccer,kleague,K리그,엑스포츠뉴스,"기성용, '익수 아웃' 외치는 팬들과 설전...대체 왜?",7989
17,worldbaseball,mlb,메이저리그,스타뉴스,"""페타주 공백 메울 가치 충분"" 김하성 뜻밖 활약, PS 진출 원동력이다",7022
18,worldbaseball,mlb,메이저리그,스포츠조선,"""ML 최고령 사령탑, 결국 은퇴"" 美 기자",6996
19,worldbaseball,mlb,메이저리그,서울신문,"‘살아있는 전설’ 푸홀스, MLB 통산 타점 2위로",6586
20,baseball,kbo,KBO리그,일간스포츠,"[IS 잠실]하늘의 뜻이 아쉬운 김종국 감독 ""자력 진출 위해 최선""",5939
